,Negemo,Posemo,Work
hilarious,,10.0,
hire,,,13.0
hireable,,,1.0
hired,,,6.0
hires,,,2.0
hiring,,,6.0
homesick,9.0,,
homesickness,1.0,,
homework,,,65.0
"homework

its",,,1.0
homeworklabsproblems,,,1.0
honest,,83.0,
honestly,,213.0,
"honestly

admin",,1.0,
honesttogod,,1.0,
honesty,,14.0,
honor,,6.0,
honorary,,1.0,
honored,,2.0,
honors,,4.0,
hope,,482.0,
hoped,,14.0,
hopeful,,7.0,
hopefully,,42.0,
hopeless,20.0,,
"hopeless
chapter",1.0,,
hopelessly,6.0,,
hopelessness,4.0,,
hopes,,27.0,
hoping,,67.0,
horrendous,5.0,,
horrible,70.0,,
"horrible

tell",1.0,,
"horrible
im",1.0,,
horribly,5.0,,
horrid,4.0,,
horrific,3.0,,
horrifically,1.0,,
horrified,4.0,,
horrifies,2.0,,
horrifying,1.0,,
horror,5.0,,
hostile,5.0,,
hostility,1.0,,
hugging,,6.0,
huggy,,1.0,
hugs,,7.0,
humiliate,1.0,,
humiliated,4.0,,
humiliating,2.0,,
"humiliating

it",1.0,,
humiliation,2.0,,
humor,,18.0,
humorous,,4.0,
humorwhy,,1.0,
humour,,1.0,
hurrah,,1.0,
hurray,,1.0,
hurt,200.0,,
"hurt

and",1.0,,
hurtful,6.0,,
hurting,31.0,,
hurts,96.0,,
"hurts
it",1.0,,
ideal,,18.0,
idealist,,1.0,
idealistic,,4.0,
idealization,,1.0,
idealizing,,1.0,
ideally,,3.0,
ideals,,6.0,
idiot,34.0,,
ignoramus,1.0,,
ignoramuses,2.0,,
ignorance,11.0,,
ignorant,18.0,,
ignore,55.0,,
ignored,25.0,,
ignoredput,2.0,,
ignoring,21.0,,
immoral,1.0,,
impatient,9.0,,
impersonal,4.0,,
importance,,7.0,
important,,105.0,
"important

i",,2.0,
importantly,,13.0,
importantlymoney,,1.0,
impress,,15.0,
impressed,,5.0,
"impressed

",,1.0,
impressing,,1.0,
impression,,8.0,
impressionable,,1.0,
impressions,,4.0,
impressive,,5.0,
impressively,,1.0,
improve,,24.0,
improved,,6.0,
improvement,,2.0,
"improvement
",,1.0,
improvements,,3.0,
improving,,6.0,
inadequacy,3.0,,
inadequate,12.0,,
inc,,,1.0
income,,,17.0
indecisive,6.0,,
indecisiveness,2.0,,
industrial,,,3.0
industrialization,,,1.0
industries,,,1.0
industrious,,,1.0
industry,,,10.0
industryyou,,,1.0
inhibit,1.0,,
inhibitions,1.0,,
innocence,,1.0,
innocent,,16.0,
innocently,,1.0,
insecure,32.0,,
insecurities,12.0,,
"insecurities

i",1.0,,
insecurity,11.0,,
inspiration,,5.0,
"inspiration
plan",,1.0,
inspirational,,3.0,
"inspirations

well",,1.0,
inspire,,6.0,
inspired,,3.0,
inspires,,2.0,
inspiring,,3.0,
instructed,,,1.0
instruction,,,2.0
instructor,,,1.0
instructors,,,2.0
insult,11.0,,
insulted,7.0,,
insulting,11.0,,
insults,7.0,,
intellect,,6.0,
intellectual,,13.0,
intellectually,,5.0,
intelligence,,20.0,
intelligent,,48.0,
intelligentnerdy,,1.0,
interest,,91.0,
"interest
all",,1.0,
interested,,176.0,
"interested

jul2014",,1.0,
interestedsomewhat,,1.0,
interestedtell,,1.0,
interesting,,73.0,
interestingfun,,1.0,
interestingly,,1.0,
interests,,22.0,
interrupt,3.0,,
interrupted,1.0,,
interrupting,1.0,,
interview,,,21.0
interviewed,,,7.0
interviewer,,,2.0
interviewing,,,11.0
interviewrush,,,1.0
interviews,,,23.0
intimidate,2.0,,
intimidated,8.0,,
intimidating,8.0,,
invigorate,,1.0,
irrational,10.0,,
irrationality,1.0,,
irrationally,1.0,,
irritable,1.0,,
irritate,3.0,,
irritated,7.0,,
irritates,2.0,,
irritating,6.0,,
"irritating
i",1.0,,
isolate,6.0,,
isolated,24.0,,
isolates,3.0,,
isolating,4.0,,
isolation,10.0,,
"isolation

5",1.0,,
"isolation

if",1.0,,
jaded,3.0,,
jealous,37.0,,
"jealous
3",1.0,,
"jealous
this",2.0,,
jealousy,11.0,,
jerk,25.0,,
jerks,14.0,,
job,,,295.0
"job

i",,,1.0
"job

semester",,,1.0
"job

so",,,1.0
"job
the",,,1.0
jobless,,,1.0
jobno,,,1.0
jobs,,,66.0
jobsinternships,,,1.0
jobswhere,,,1.0
joke,,44.0,
joked,,4.0,
joker,,1.0,
jokes,,29.0,
joking,,8.0,
joy,,22.0,
joyful,,1.0,
joys,,1.0,
joyturn,,1.0,
junior,,,45.0
"junior
ive",,,1.0
juniors,,,4.0
junioryear,,,1.0
keen,,1.0,
keyboard,,,1.0
keyboardsigh,,,1.0
kidding,,9.0,
kill,72.0,,
killed,24.0,,
killer,2.0,,
killing,42.0,,
killings,2.0,,
kills,18.0,,
kind,,269.0,
kindergarten,,,2.0
kindly,,5.0,
kindness,,15.0,
"kindness

i",,1.0,
kindnesses,,1.0,
kiss,,60.0,
kissed,,36.0,
kisser,,3.0,
kisses,,6.0,
kissing,,19.0,
kissinger,,1.0,
labor,,,9.0
laboratory,,,1.0
laborer,,,1.0
laidback,,1.0,
lame,6.0,,
lameass,1.0,,
lament,1.0,,
lamenting,1.0,,
laments,1.0,,
laptop,,,16.0
laptops,,,3.0
laugh,,84.0,
"laugh

id",,1.0,
laughable,,2.0,
laughably,,1.0,
laughed,,20.0,
laughing,,35.0,
laughs,,6.0,
laughter,,9.0,
lazy,29.0,,
lead,,,29.0
leader,,,9.0
leadera,,,1.0
leaders,,,8.0
leadership,,,5.0
leading,,,18.0
leads,,,13.0
learn,,,135.0
learned,,,91.0
"learned

1",,,1.0
learnedspoke,,,1.0
learner,,,1.0
learning,,,50.0
learninglearned,,,1.0
learningspeaking,,,1.0
learnt,,,3.0
lecture,,,35.0
lectureevent,,,1.0
lecturers,,,1.0
lectures,,,10.0
lecturing,,,1.0
legal,,,12.0
legally,,,1.0
liability,1.0,,
liar,10.0,,
"liar
3",1.0,,
liberty,,3.0,
librarian,,,3.0
librarians,,,1.0
libraries,,,10.0
library,,,117.0
libraryevery,,,1.0
libraryissued,,,1.0
librarys,,,1.0
librarythanks,,,1.0
lied,21.0,,
lies,19.0,,
like,,3109.0,
likeable,,3.0,
liked,,113.0,
likes,,73.0,
liking,,35.0,
livelihood,,1.0,
lively,,1.0,
lone,2.0,,
lonelier,4.0,,
loneliest,1.0,,
loneliness,27.0,,
lonely,160.0,,
"lonely

i",2.0,,
"lonely
i",1.0,,
loner,8.0,,
loners,1.0,,
longing,3.0,,
lose,136.0,,
loser,40.0,,
loserdom,1.0,,
losers,13.0,,
losers’,1.0,,
loses,1.0,,
losing,58.0,,
loss,17.0,,
"loss
afraid",1.0,,
losses,3.0,,
lost,179.0,,
lousy,3.0,,
love,,1290.0,
loved,,120.0,
lovely,,13.0,
lover,,7.0,
loverelationship,,1.0,
loverelationships,,1.0,
loverfriendpartner,,1.0,
lovers,,5.0,
"lovers

and",,1.0,
lovershook,,1.0,
loverture,,1.0,
loves,,47.0,
loving,,40.0,
low,63.0,,
lowa,1.0,,
lowcost,2.0,,
lowend,2.0,,
lower,23.0,,
lowerclass,1.0,,
lowered,5.0,,
lowes,1.0,,
lowest,7.0,,
lowincome,3.0,,
lowkey,1.0,,
lowlife,1.0,,
lowly,1.0,,
lowpaying,1.0,,
lowpoint,1.0,,
lows,2.0,,
lowskill,1.0,,
lowskilled,2.0,,
loyal,,4.0,
loyalty,,4.0,
lsat,,,1.0
luck,,66.0,
lucked,,1.0,
luckiest,,2.0,
luckily,,15.0,
lucky,,70.0,
lying,39.0,,
mad,68.0,,
maddening,1.0,,
madly,,6.0,
magnificent,,2.0,
majoring,,,4.0
majors,,,26.0
manage,,,17.0
manageable,,,2.0
managed,,,23.0
management,,,4.0
manager,,,9.0
managers,,,2.0
managing,,,3.0
maniacal,1.0,,
maniaci,1.0,,
manufacture,,,2.0
manufactured,,,1.0
manufactures,,,1.0
manufacturing,,,4.0
market,,,6.0
"market

when",,,1.0
marketable,,,4.0
marketed,,,1.0
marketing,,,1.0
markets,,,2.0
masochist,1.0,,
masters,,,2.0
math,,,17.0
math2930,,,1.0
mathematics,,,1.0
mathphysics,,,1.0
mcat,,,7.0
meeting,,,53.0
"meeting

let",,,1.0
meetings,,,10.0
melancholy,6.0,,
memo,,,1.0
menial,,,2.0
mentor,,,3.0
mentored,,,1.0
mentoring,,,1.0
mentors,,,1.0
mentorship,,,1.0
mentorthis,,,1.0
mergers,,,1.0
merit,,5.0,
merits,,1.0,
merry,,6.0,
mess,39.0,,
messy,6.0,,
midterm,,,3.0
midterms,,,1.0
miserable,62.0,,
"miserable

i",1.0,,
miserably,3.0,,
miseries,1.0,,
misery,16.0,,
"misery

1",1.0,,
"misery
i",1.0,,
miss,295.0,,
missed,45.0,,
misses,3.0,,
missing,57.0,,
mistake,48.0,,
mistakei,1.0,,
mistaken,3.0,,
"mistaken
i",1.0,,
mistakenly,2.0,,
mistakes,29.0,,
"mistakes

its",1.0,,
"mistakes

sincerely

an",1.0,,
"mistakes
and",1.0,,
mock,3.0,,
mocked,5.0,,
mocking,4.0,,
molestation,1.0,,
molested,5.0,,
molesters,1.0,,
mooch,1.0,,
"moron

i",1.0,,
morons,2.0,,
motivate,,,7.0
motivated,,,15.0
motivates,,,2.0
motivation,,,45.0
motivational,,,1.0
motivator,,,1.0
motive,,,1.0
motives,,,3.0
mourn,1.0,,
mourned,1.0,,
mourning,3.0,,
murder,7.0,,
murdered,4.0,,
murderer,3.0,,
murderers,2.0,,
murdering,1.0,,
murderous,1.0,,
murders,2.0,,
nagging,5.0,,
naggy,1.0,,
nasties,9.0,,
nasty,21.0,,
neat,,6.0,
needy,4.0,,
neglect,4.0,,
neglected,4.0,,
neglecting,2.0,,
negotiations,,,1.0
nerd,10.0,,
nerds,4.0,,
"nerds
walking",1.0,,
nerdy,7.0,,
"nerdyhmm
maybe",1.0,,
nervous,48.0,,
nervously,1.0,,
nervousness,1.0,,
ngo,,,2.0
nice,,297.0,
"nice

all",,1.0,
"nice

what",,1.0,
"nice

you",,1.0,
nicefriendly,,1.0,
nicelooking,,1.0,
nicely,,7.0,
niceness,,2.0,
nicer,,9.0,
nicest,,7.0,
numb,6.0,,
numbed,1.0,,
number,91.0,,
numberbased,1.0,,
numbers,12.0,,
numbing,2.0,,
numbness,3.0,,
nurture,,1.0,
nurtured,,2.0,
nurturing,,1.0,
obnoxious,15.0,,
obnoxiously,5.0,,
obsess,1.0,,
obsessed,11.0,,
obsessing,3.0,,
obsession,9.0,,
obsessional,1.0,,
obsessive,2.0,,
obsessively,1.0,,
occupation,,,1.0
occupations,,,1.0
offend,5.0,,
offended,17.0,,
offender,1.0,,
offenders,2.0,,
offending,4.0,,
offense,4.0,,
offenses,1.0,,
offensive,21.0,,
offensively,1.0,,
office,,,52.0
"office

i",,,1.0
officer,,,2.0
officers,,,8.0
offices,,,2.0
ok,,59.0,
okay,,125.0,
openminded,,4.0,
openness,,2.0,
opportunities,,53.0,
"opportunities
people",,1.0,
opportunity,,51.0,
opportunitywould,,1.0,
optimism,,3.0,
optimistic,,8.0,
"optimistic
no",,1.0,
optimizations,,1.0,
optimized,,1.0,
organization,,,19.0
organizational,,,2.0
organizations,,,19.0
organizationyou,,,1.0
organize,,,2.0
organized,,,7.0
organizer,,,2.0
organizing,,,1.0
original,,11.0,
outgoing,,14.0,
outline,,,2.0
outrage,1.0,,
outraged,2.0,,
outrageous,3.0,,
overpaid,,,1.0
overtime,,,4.0
overwhelm,1.0,,
overwhelmed,14.0,,
overwhelming,11.0,,
overwhelmingly,2.0,,
overworked,,,3.0
pain,96.0,,
pained,2.0,,
painful,34.0,,
painfully,6.0,,
painless,,5.0,
painlike,,1.0,
pains,6.0,,
palatable,,2.0,
panic,22.0,,
"panic

i",1.0,,
panicked,2.0,,
panicking,2.0,,
panics,1.0,,
paper,,,40.0
"paper

semester",,,1.0
papers,,,15.0
paperwork,,,3.0
paperwriting,,,1.0
paradise,,1.0,
paranoia,4.0,,
paranoid,5.0,,
partied,,1.0,
partier,,1.0,
parties,,61.0,
"parties

fortunately",,1.0,
"parties

thanks",,1.0,
"parties
keep",,1.0,
party,,107.0,
partying,,16.0,
partymost,,1.0,
partyother,,1.0,
partysocial,,1.0,
passion,,40.0,
passionate,,34.0,
passionately,,3.0,
passions,,6.0,
pathetic,32.0,,
"pathetic

meh",1.0,,
pathetically,1.0,,
pay,,,118.0
paycheck,,,3.0
payer,,,1.0
paying,,,49.0
payment,,,2.0
payments,,,1.0
"payphone

they",,,1.0
pays,,,11.0
pc,,,6.0
pcbgood,,,1.0
pcos,,,2.0
peace,,50.0,
"peace

no",,1.0,
peaceful,,7.0,
peacefull,,1.0,
pen,,,2.0
pencil,,,4.0
pencils,,,2.0
pension,,,2.0
perfect,,105.0,
"perfect

but",,1.0,
"perfect

its",,1.0,
perfectbut,,1.0,
perfected,,2.0,
perfecting,,2.0,
perfection,,5.0,
perfectionist,,2.0,
perfectly,,48.0,
perversions,1.0,,
pervert,2.0,,
perverted,1.0,,
pessimism,2.0,,
"pessimist

ive",1.0,,
pessimistic,3.0,,
petty,21.0,,
phd,,,10.0
phds,,,1.0
phobia,1.0,,
phobic,1.0,,
piss,16.0,,
pissed,28.0,,
pisses,9.0,,
pissing,5.0,,
pissy,2.0,,
pitied,1.0,,
pitiful,4.0,,
play,,96.0,
played,,18.0,
playful,,1.0,
playing,,78.0,
plays,,14.0,
pleasant,,10.0,
pleasantly,,1.0,
please,,409.0,
"please

firstworldproblems",,1.0,
"please

i",,1.0,
"please

sincerely
just",,1.0,
pleased,,4.0,
pleasei,,2.0,
pleasepleaseplease,,1.0,
pleases,,1.0,
pleasing,,3.0,
pleasurable,,2.0,
pleasure,,18.0,
pledge,,,5.0
pledges,,,3.0
pledging,,,3.0
poison,3.0,,
poisoned,1.0,,
poisoning,3.0,,
poisons,1.0,,
police,,,32.0
policy,,,13.0
political,,,29.0
politics,,,16.0
popular,,22.0,
popularity,,3.0,
popularization,,1.0,
positive,,45.0,
positively,,3.0,
positives,,2.0,
positivity,,1.0,
practice,,,19.0
praise,,4.0,
praised,,2.0,
praising,,1.0,
precious,,7.0,
prejudice,8.0,,
prejudiced,1.0,,
prejudices,1.0,,
prerequisite,,,1.0
presentation,,,5.0
presentations,,,4.0
presidency,,,3.0
president,,,36.0
presidential,,,1.0
pressure,40.0,,
pressured,13.0,,
pressures,8.0,,
pressuring,5.0,,
pressurized,1.0,,
prettier,,5.0,
prettiest,,4.0,
pretty,,348.0,
prick,4.0,,
pricks,2.0,,
pride,,31.0,
privilege,,27.0,
privilegeclass,,1.0,
privileged,,21.0,
privileges,,4.0,
prize,,3.0,
prized,,2.0,
problem,177.0,,
"problem

bone",1.0,,
"problem

it",1.0,,
"problem

same",1.0,,
"problem

the",1.0,,
"problem

this",1.0,,
"problem
at",1.0,,
problems,168.0,,
"problems

same",1.0,,
"problem”

i",1.0,,
procrastinate,,,8.0
procrastinated,,,1.0
procrastinating,,,4.0
procrastination,,,5.0
procrastinator,,,2.0
produce,,,4.0
produced,,,3.0
producer,,,2.0
produces,,,3.0
product,,,8.0
production,,,2.0
productive,,,12.0
productivity,,,2.0
products,,,9.0
prof,,,4.0
profession,,,1.0
professional,,,33.0
professionalism,,,1.0
professionally,,,3.0
professionals,,,6.0
professions,,,3.0
professor,,,66.0
professors,,,62.0
professorstas,,,1.0
professorwise,,,1.0
profit,,1.0,1.0
profitable,,2.0,2.0
profs,,,5.0
program,,,45.0
programmed,,,2.0
programming,,,6.0
programs,,,15.0
programsclubs,,,1.0
programseven,,,1.0
projector,,,1.0
projects,,,21.0
promiscuity,,2.0,
promiscuous,,2.0,
promise,,38.0,
promised,,15.0,
promises,,4.0,
promising,,3.0,
promiss,,1.0,
promote,,,2.0
promoted,,,2.0
promotes,,,2.0
promoting,,,3.0
protest,10.0,,
protested,1.0,,
protesting,7.0,,
proud,,74.0,
psych,,,2.0
psychological,,,6.0
psychologically,,,10.0
psychologist,,,2.0
psychologists,,,1.0
publish,,,2.0
puke,2.0,,
puked,1.0,,
puking,1.0,,
punish,1.0,,
punished,6.0,,
punishing,2.0,,
punishment,17.0,,
qualifications,,,2.0
qualified,,,13.0
qualifies,,,1.0
quiz,,,2.0
quizzes,,,1.0
radiance,,1.0,
radiant,,1.0,
rage,4.0,,
rages,1.0,,
raging,2.0,,
rape,42.0,,
raped,15.0,,
rapes,3.0,,
rapewe,1.0,,
rapey,1.0,,
rape”,1.0,,
raping,2.0,,
rapist,3.0,,
rapists,9.0,,
rapists”,1.0,,
rapist’s,1.0,,
readiness,,2.0,
ready,,80.0,
reassurance,,1.0,
reassurancethe,,1.0,
reassure,,3.0,
reassures,,1.0,
reassuring,,8.0,
rebellion,1.0,,
rebellious,2.0,,
recruit,,,2.0
recruited,,,1.0
recruitment,,,2.0
reek,1.0,,
register,,,5.0
registering,,,1.0
registrar,,,1.0
regret,87.0,,
"regret

a",1.0,,
regretful,1.0,,
regrets,15.0,,
regretted,3.0,,
regretting,2.0,,
reject,10.0,,
rejected,56.0,,
rejectedignored,1.0,,
rejecthurt,1.0,,
rejecting,1.0,,
rejection,27.0,,
"rejection
im",1.0,,
rejections,9.0,,
rejects,4.0,,
relax,,11.0,
relaxation,,1.0,
relaxed,,4.0,
relaxes,,1.0,
relaxing,,4.0,
relief,,14.0,
relieve,,6.0,
relieved,,7.0,
relieves,,1.0,
relieving,,1.0,
reluctance,1.0,,
"reluctant

i",1.0,,
reluctantly,1.0,,
remorseful,1.0,,
report,,,10.0
reported,,,1.0
reporter,,,1.0
reporting,,,2.0
reports,,,3.0
repress,2.0,,
repressed,1.0,,
"repressed

i",1.0,,
repressing,3.0,,
repression,1.0,,
require,,,11.0
required,,,13.0
requirement,,,3.0
requirements,,,10.0
requires,,,11.0
research,,,58.0
researched,,,1.0
researcher,,,4.0
researchers,,,2.0
researching,,,2.0
researchinternship,,,1.0
resent,9.0,,
resented,2.0,,
resentful,1.0,,
resenting,3.0,,
resentment,3.0,,
resign,2.0,,
resigned,1.0,,
resolve,,4.0,
resolved,,1.0,
resolving,,1.0,
resource,,,11.0
resources,,,10.0
responsibilities,,,11.0
responsibility,,,15.0
responsible,,,12.0
responsibly,,,1.0
restless,2.0,,
resume,,,15.0
retire,,,4.0
retirement,,,3.0
revenge,4.0,,
review,,,5.0
reviewed,,,1.0
reviewing,,,1.0
reviews,,,1.0
reward,,7.0,
"reward

5",,1.0,
rewarded,,1.0,
rewarding,,3.0,
rewards,,2.0,
rich,,34.0,
richer,,1.0,
riches,,1.0,
ridicule,3.0,,
ridiculed,4.0,,
ridiculous,41.0,,
"ridiculous
to",1.0,,
ridiculously,14.0,,
rigid,1.0,,
risk,29.0,,
risked,1.0,,
risking,2.0,,
risks,7.0,,
risky,4.0,,
romance,,13.0,
romantic,,56.0,
"romantic
ive",,1.0,
romantically,,6.0,
romanticized,,2.0,
romanticizing,,1.0,
romanticsexual,,1.0,
rotten,2.0,,
rude,49.0,,
"rude

the",1.0,,
"rude

well",1.0,,
"rude
2",1.0,,
rudeannoying,1.0,,
rudely,2.0,,
rudeness,3.0,,
rudest,2.0,,
ruin,31.0,,
ruined,27.0,,
ruining,9.0,,
ruins,5.0,,
sad,223.0,,
sadden,1.0,,
saddened,3.0,,
saddening,1.0,,
saddens,12.0,,
sadder,6.0,,
saddest,6.0,,
sadly,18.0,,
sadness,56.0,,
safe,,36.0,
safeguards,,1.0,
safely,,3.0,
safemaybe,,1.0,
safer,,1.0,
safety,,16.0,
salaried,,,1.0
salaries,,,2.0
salary,,,8.0
sarcasm,2.0,,
sarcastic,6.0,,
sarcastically,1.0,,
sarcasticbut,1.0,,
satisfaction,,9.0,
satisfactory,,2.0,
satisfied,,9.0,
satisfy,,4.0,
satisfying,,5.0,
savage,11.0,,
save,,52.0,
scare,13.0,,
"scarecrow
stage",1.0,,
scared,231.0,,
scaredembarrassed,1.0,,
scaredeven,1.0,,
scares,35.0,,
scaring,3.0,,
scary,26.0,,
scholarship,,,5.0
"scholarship

honestly",,,1.0
scholarships,,,6.0
school,,,780.0
"school

even",,,1.0
"school

that",,,1.0
"school
they",,,1.0
schooler,,,1.0
schoolgrades,,,1.0
schooling,,,1.0
schoolminded,,,1.0
schools,,,57.0
"schools

id",,,1.0
"schools

if",,,1.0
"schools

the",,,1.0
schoolthe,,,1.0
schoolthese,,,1.0
schoolwork,,,9.0
school”,,,1.0
science,,,35.0
sciencemath,,,1.0
sciences,,,8.0
sciencesengineering,,,1.0
scientific,,,3.0
scientist,,,3.0
scientists,,,3.0
scream,22.0,,
screamed,6.0,,
screaming,16.0,,
screams,4.0,,
screw,12.0,,
"screwball
",1.0,,
screwed,26.0,,
screwing,5.0,,
screws,3.0,,
secretary,,,2.0
sector,,,4.0
secure,,11.0,
secured,,1.0,
secures,,1.0,
securing,,1.0,
security,,13.0,
selfish,52.0,,
selfishly,6.0,,
selfishness,2.0,,
semester,,,438.0
"semester

it",,,1.0
"semester

my",,,1.0
"semester
all",,,2.0
"semester
i",,,1.0
"semester
im",,,1.0
semesteri,,,1.0
semesters,,,30.0
semesterwish,,,1.0
senior,,,97.0
senioritis,,,1.0
seniors,,,12.0
sentimental,,4.0,
serious,87.0,,
seriously,155.0,,
seriousness,4.0,,
service,,,31.0
services,,,18.0
serviceswhen,,,1.0
session,,,9.0
sessions,,,7.0
severe,11.0,,
severed,1.0,,
severely,10.0,,
shake,11.0,,
shakespeare,2.0,,
shakin,1.0,,
shaking,10.0,,
shaky,3.0,,
shame,40.0,,
shameand,1.0,,
shamed,7.0,,
shameful,4.0,,
shameless,2.0,,
shames,3.0,,
share,,85.0,
shared,,21.0,
shares,,4.0,
sharing,,18.0,
shit,341.0,,
"shit

muahahahaha

sincerely
",1.0,,
"shit

sincerely
the",1.0,,
"shit
as",1.0,,
"shit
but",1.0,,
"shit
good",1.0,,
"shit
i",2.0,,
shitaca,1.0,,
shitfaced,5.0,,
shitfest,1.0,,
shithole,2.0,,
shitless,1.0,,
shitload,2.0,,
shits,10.0,,
shitshow,1.0,,
shitted,1.0,,
shitters,1.0,,
shittier,5.0,,
shittiest,7.0,,
shitting,3.0,,
shitton,1.0,,
shittty,1.0,,
shitty,94.0,,
shock,3.0,,
shocked,16.0,,
shocker,1.0,,
shocking,3.0,,
shockingly,2.0,,
shook,1.0,,
shy,58.0,,
shyest,1.0,,
shyly,1.0,,
shyness,1.0,,
shysolitary,1.0,,
sickened,2.0,,
sickening,5.0,,
sickens,3.0,,
silly,,21.0,
sin,3.0,,
sincere,,9.0,
sincerely,,18.0,
sincerest,,1.0,
sincerity,,4.0,
sinister,1.0,,
skeptic,2.0,,
skeptical,4.0,,
slut,24.0,,
slutgers,1.0,,
sluts,1.0,,
slutshaming,4.0,,
slutskys,1.0,,
slutty,4.0,,
smart,,81.0,
smartass,,1.0,
smarter,,17.0,
smartest,,5.0,
smartphone,,2.0,
smartphones,,1.0,
smarts,,1.0,
smile,,171.0,
"smile
and",,1.0,
smiled,,22.0,
smiles,,17.0,
smilethe,,1.0,
smiley,,1.0,
smilies,,1.0,
smiling,,31.0,
smother,1.0,,
smothered,1.0,,
smug,3.0,,
"smug

but",1.0,,
smuggled,1.0,,
smuggling,2.0,,
snob,3.0,,
snobbery,2.0,,
snobbish,1.0,,
snobby,1.0,,
snobs,5.0,,
sob,1.0,,
sobbing,7.0,,
sociable,,4.0,
sociablelikeable,,1.0,
sophomore,,,48.0
sophomores,,,4.0
sororities,,,11.0
sororitiesfraternities,,,1.0
sorority,,,75.0
sororityher,,,1.0
sorrow,4.0,,
sorrows,3.0,,
sorry,262.0,,
soulmate,,7.0,
soulmates,,1.0,
special,,51.0,
spite,8.0,,
spited,1.0,,
spiteful,4.0,,
splenda,,1.0,
splendor,,1.0,
staff,,,18.0
staffs,,,1.0
stank,2.0,,
startled,5.0,,
startling,1.0,,
steal,17.0,,
stealing,7.0,,
steals,1.0,,
stealthy,1.0,,
stench,2.0,,
stinks,2.0,,
stinky,1.0,,
stipends,,,1.0
stock,,,3.0
stocks,,,2.0
strain,1.0,,
strained,4.0,,
strains,1.0,,
strange,29.0,,
strength,,32.0,
strengthening,,1.0,
stress,90.0,,
stresseat,1.0,,
stressed,54.0,,
stresses,8.0,,
stressfree,2.0,,
stressful,23.0,,
stressing,8.0,,
stressrelated,1.0,,
strong,,110.0,
"strong
i",,1.0,
stronger,,29.0,
strongest,,3.0,
strongly,,14.0,
strongminded,,1.0,
strongweak,,1.0,
strongwilled,,1.0,
struggle,62.0,,
struggled,17.0,,
struggles,23.0,,
struggling,75.0,,
stubborn,7.0,,
student,,,262.0
"student

and",,,1.0
"student

today",,,1.0
studentrun,,,1.0
students,,,324.0
"students

assumption",,,1.0
studied,,,20.0
studies,,,35.0
study,,,163.0
"study

does",,,1.0
studying,,,92.0
studyingare,,,1.0
stunned,2.0,,
stupid,161.0,,
stupider,1.0,,
stupidest,4.0,,
stupidity,3.0,,
stupidly,3.0,,
stupidridiculous,1.0,,
stuttering,1.0,,
submissive,4.0,,
succeed,,25.0,25.0
"succeed

come",,1.0,1.0
succeeded,,5.0,5.0
succeedeven,,1.0,1.0
succeeding,,3.0,3.0
succeeds,,1.0,1.0
success,,47.0,47.0
"success

on",,1.0,1.0
successes,,2.0,2.0
successful,,52.0,52.0
"successful

the",,1.0,1.0
successfully,,6.0,6.0
successfulthey,,1.0,1.0
succession,,1.0,1.0
successive,,1.0,1.0
successively,,1.0,1.0
successmoneypower,,1.0,1.0
suck,72.0,,
sucked,16.0,,
sucker,3.0,,
sucks,95.0,,
sucky,2.0,,
suffer,26.0,,
suffered,15.0,,
suffering,40.0,,
suffers,5.0,,
sunny,,3.0,
sunshine,,10.0,
super,,120.0,
superior,,7.0,
superiority,,8.0,
supervisor,,,7.0
support,,136.0,
supported,,8.0,
supporter,,1.0,
supporters,,2.0,
supporting,,16.0,
supportive,,21.0,
supports,,3.0,
supremacy,,1.0,
supreme,,5.0,
supremely,,1.0,
sure,,490.0,
"sure

when",,1.0,
surely,,14.0,
surprise,,21.0,
surprised,,41.0,
surprises,,4.0,
surprising,,4.0,
surprisingly,,8.0,
suspicion,3.0,,
suspicious,5.0,,
sweet,,76.0,
sweetheart,,6.0,
sweetie,,1.0,
sweetly,,2.0,
sweetness,,2.0,
syllabus,,,3.0
talent,,6.0,
talented,,19.0,
talents,,7.0,
tantrum,1.0,,
tantrums,1.0,,
taught,,,37.0
tax,,,10.0
taxed,,,1.0
taxes,,,14.0
teach,,,22.0
teacher,,,10.0
"teacher

oh",,,1.0
teachers,,,15.0
teaches,,,2.0
teaching,,,16.0
team,,,51.0
"team

can",,,1.0
teammate,,,1.0
teammates,,,5.0
teams,,,8.0
tears,37.0,,
tease,3.0,,
teasing,4.0,,
temper,7.0,,
tender,,2.0,
tense,2.0,,
tension,10.0,,
tensions,2.0,,
terrible,100.0,,
"terrible
completely",1.0,,
terribly,23.0,,
terrifically,,1.0,
terrified,60.0,,
terrifies,11.0,,
terrifying,13.0,,
terror,1.0,,
terrorist,1.0,,
test,,,34.0
tested,,,7.0
testing,,,1.0
tests,,,25.0
textbook,,,11.0
textbooks,,,4.0
thank,,146.0,
thankful,,28.0,
thankfully,,5.0,
thanks,,91.0,
thesis,,,2.0
thief,1.0,,
thoughtful,,7.0,
threat,5.0,,
threaten,2.0,,
threatened,6.0,,
threatening,3.0,,
threats,1.0,,
thrill,,2.0,
thrilled,,3.0,
thrilling,,1.0,
timid,1.0,,
timidity,1.0,,
toefl,,,1.0
tolerance,,1.0,
tolerant,,2.0,
torture,10.0,,
tortured,2.0,,
torturing,1.0,,
torturous,1.0,,
tough,28.0,,
toughen,1.0,,
toughened,1.0,,
tougher,1.0,,
trade,,,9.0
