,Negemo,Posemo,Work
talentattractive,,1.0,
talented,,7.0,
talentless,,1.0,
taught,,,5.0
teach,,,6.0
teacher,,,8.0
teachers,,,2.0
teaches,,,1.0
teaching,,,2.0
team,,,23.0
"team

you",,,1.0
teammates,,,1.0
teamterio,,,1.0
tears,6.0,,
tease,2.0,,
teasing,2.0,,
tender,,1.0,
tenderly,,1.0,
tense,1.0,,
tension,1.0,,
terrible,16.0,,
terribly,2.0,,
terrified,6.0,,
terror,1.0,,
terrorist,1.0,,
test,,,4.0
tested,,,1.0
testing,,,1.0
tests,,,5.0
textbook,,,4.0
thank,,50.0,
thanked,,2.0,
thankful,,3.0,
thankfully,,1.0,
thanks,,23.0,
thoughtful,,1.0,
threaten,1.0,,
threatened,3.0,,
threatening,2.0,,
thrilling,,1.0,
tolerance,,1.0,
"tolerance

stupid",,1.0,
torture,2.0,,
torturing,1.0,,
tough,8.0,,
trade,,,5.0
tragedy,2.0,,
transfer,,,18.0
transferred,,,5.0
transferring,,,2.0
transfers,,,1.0
trauma,1.0,,
traumatic,1.0,,
traumatize,1.0,,
traumatized,1.0,,
traumatizing,2.0,,
treat,,8.0,
trick,1.0,,
tricked,1.0,,
trivial,1.0,,
trouble,5.0,,
troubles,1.0,,
troublesome,1.0,,
truly,,26.0,
trust,,13.0,
trustable,,1.0,
trusting,,1.0,
truth,,15.0,
truths,,1.0,
tutor,,,1.0
tutored,,,1.0
tutoring,,,1.0
tutors,,,1.0
type,,,26.0
types,,,4.0
typeshelp,,,1.0
typing,,,3.0
ugh,2.0,,
uglier,1.0,,
ugliness,1.0,,
ugly,14.0,,
"ugly
but",1.0,,
unattractive,3.0,,
uncertainty,1.0,,
uncomfortable,8.0,,
uncontrollably,2.0,,
undergrad,,,5.0
undergrads,,,2.0
undergraduate,,,1.0
undergraduates,,,1.0
uneasy,1.0,,
unemployed,,,1.0
unemployment,,,1.0
unfortunate,7.0,,
unfortunately,4.0,,
unfriendly,2.0,,
ungrateful,2.0,,
unhappy,2.0,,
universities,,,2.0
university,,,19.0
unpleasant,1.0,,
unproductive,,,1.0
unproductivity,,,1.0
unsavory,1.0,,
unsure,3.0,,
upperclassmen,,,2.0
upset,13.0,,
upsets,2.0,,
upsetting,1.0,,
useful,,1.0,
usefulness,,1.0,
vain,3.0,,
valuable,,3.0,
value,,4.0,
valued,,1.0,
values,,3.0,
valuing,,1.0,
vicious,1.0,,
viciously,1.0,,
victim,3.0,,
victimized,1.0,,
victims,2.0,,
vigor,,1.0,
vigorously,,1.0,
violated,1.0,,
violent,3.0,,
violently,1.0,,
virtue,,2.0,
vulnerable,1.0,,
vultures,1.0,,
wage,,,2.0
war,4.0,,
warm,,11.0,
warmhearted,,1.0,
warmongering,,1.0,
warms,,2.0,
warmth,,3.0,
warring,1.0,,
wars,2.0,,
weak,6.0,,
weakass,1.0,,
weakest,1.0,,
wealth,,1.0,
wealthier,,1.0,
wealthy,,1.0,
weapon,1.0,,
weapons,2.0,,
weird,40.0,,
weirded,1.0,,
weirdest,1.0,,
weirdness,1.0,,
welcome,,7.0,
welcomed,,1.0,
welfare,,,1.0
well,,95.0,
wellbehaved,,1.0,
welldefined,,1.0,
wellfuck,,1.0,
wellknown,,1.0,
wellmeaning,,1.0,
wellresearched,,1.0,
welltraveled,,1.0,
whining,4.0,,
whore,4.0,,
win,,8.0,
winner,,1.0,
wins,,2.0,
wise,,2.0,
wisely,,1.0,
wiser,,1.0,
woeisme,1.0,,
won,,4.0,
wonderful,,9.0,
worked,,,15.0
worker,,,4.0
workers,,,6.0
working,,,29.0
workingshut,,,1.0
works,,,17.0
worried,12.0,,
worry,17.0,,
worrying,1.0,,
worse,20.0,,
worst,26.0,,
worthwhile,,2.0,
wow,,10.0,
"wow

that",,1.0,
wowwwwww,,1.0,
wrong,44.0,,
yearn,1.0,,
