,Negemo,Posemo,Work
neat,,2.0,
needy,3.0,,
neglected,2.0,,
neglecting,2.0,,
nerd,3.0,,
nerds,5.0,,
nerdy,3.0,,
nervous,17.0,,
nervously,3.0,,
nervousness,1.0,,
neurotic,1.0,,
nice,,96.0,
niceguyfinisheslast,,1.0,
niceish,,1.0,
nicely,,4.0,
nicer,,5.0,
nicest,,1.0,
numb,3.0,,
numba,1.0,,
number,46.0,,
numbers,13.0,,
"numbers

its",1.0,,
numbness,1.0,,
nurturing,,1.0,
obnoxious,7.0,,
obnoxiously,2.0,,
obsess,1.0,,
obsessed,4.0,,
obsessing,1.0,,
obsession,4.0,,
obsessive,1.0,,
occupations,,,1.0
offend,10.0,,
offended,24.0,,
offends,5.0,,
offense,6.0,,
offensive,16.0,,
office,,,20.0
officer,,,16.0
officers,,,11.0
offices,,,1.0
ok,,30.0,
okay,,51.0,
openminded,,4.0,
opportunistic,,1.0,
opportunities,,17.0,
opportunity,,38.0,
optimal,,1.0,
optimistic,,2.0,
optimistically,,1.0,
optimize,,1.0,
organization,,,14.0
organizations,,,22.0
organize,,,1.0
organized,,,4.0
organizers,,,2.0
original,,7.0,
outgoing,,6.0,
outline,,,2.0
outlined,,,1.0
outrage,4.0,,
outrageous,5.0,,
overwhelm,1.0,,
overwhelmed,8.0,,
overwhelming,5.0,,
overwhelms,1.0,,
pain,31.0,,
pained,1.0,,
painful,6.0,,
"painful
watching",1.0,,
painfully,1.0,,
pains,1.0,,
panic,22.0,,
panicked,1.0,,
panicking,2.0,,
panicky,1.0,,
paper,,,45.0
paperclips,,,2.0
papercut,,,2.0
papers,,,6.0
papersall,,,1.0
"paper…

i",,,1.0
paranoia,3.0,,
paranoid,11.0,,
partied,,2.0,
partier,,1.0,
parties,,56.0,
party,,59.0,
partying,,8.0,
partyingdrinking,,1.0,
partyparty,,1.0,
partys,,1.0,
passion,,11.0,
passionate,,11.0,
passionately,,1.0,
passions,,4.0,
pathetic,10.0,,
"pathetic

he",1.0,,
pathetically,1.0,,
pay,,,103.0
"pay

sometimes",,,1.0
"payback

here",,,1.0
payed,,,1.0
payers,,,1.0
paying,,,28.0
pays,,,5.0
pc,,,2.0
pcs,,,3.0
pcspeech,,,1.0
peace,,9.0,
peaceful,,1.0,
peacefully,,3.0,
pen,,,3.0
"pencil
thank",,,1.0
pencils,,,1.0
perfect,,42.0,
perfectionist,,1.0,
perfectly,,20.0,
perfectlyim,,1.0,
perverted,1.0,,
petrified,1.0,,
petrifying,1.0,,
petty,9.0,,
phd,,,8.0
phobia,2.0,,
piss,9.0,,
pissed,12.0,,
pisses,13.0,,
pissing,3.0,,
pissy,2.0,,
play,,62.0,
played,,15.0,
playing,,12.0,
plays,,2.0,
pleasant,,4.0,
pleasantly,,1.0,
please,,148.0,
"please
dont",,1.0,
pleasebeboobspleasebeboobspleasebeboobs,,1.0,
pleased,,3.0,
pleasesomeoneanyone,,1.0,
pleasure,,17.0,
"pleasure

but",,1.0,
pledge,,,3.0
pledges,,,3.0
pledging,,,3.0
poison,1.0,,
poisoned,2.0,,
poisoning,3.0,,
poisonous,2.0,,
police,,,43.0
policy,,,12.0
political,,,31.0
politics,,,8.0
popular,,18.0,
popularity,,2.0,
popularoutgoingsmartinvolved,,1.0,
positive,,22.0,
"positive
why",,1.0,
positively,,2.0,
positivism,,1.0,
positivity,,3.0,
practice,,,12.0
praise,,3.0,
praised,,3.0,
praising,,2.0,
precious,,3.0,
prejudice,7.0,,
prejudiced,2.0,,
prejudices,1.0,,
prerequisite,,,2.0
presentation,,,2.0
president,,,8.0
presidential,,,2.0
presidents,,,3.0
pressure,22.0,,
pressured,4.0,,
pressures,2.0,,
pressuring,1.0,,
prettier,,1.0,
prettiest,,1.0,
pretty,,173.0,
pricks,1.0,,
pride,,19.0,
privilege,,42.0,
privileged,,32.0,
"privileged

you",,1.0,
privilegei,,1.0,
privileges,,3.0,
prize,,1.0,
prized,,1.0,
prizes,,1.0,
problem,124.0,,
"problem

yeah",1.0,,
problematic,5.0,,
problems,83.0,,
"problems

disclaimer",1.0,,
procrastinate,,,4.0
procrastinated,,,1.0
procrastinating,,,8.0
procrastination,,,6.0
produced,,,1.0
produces,,,2.0
producing,,,1.0
product,,,3.0
production,,,1.0
productive,,,9.0
productively,,,1.0
products,,,1.0
prof,,,3.0
professional,,,13.0
professionally,,,1.0
professionals,,,2.0
professor,,,53.0
"professor

httpswwwfacebookcomwashuconfessionsposts952301184796697

either",,,1.0
professors,,,56.0
"professors

i",,,1.0
"professors

it",,,1.0
"professors

when",,,1.0
professorshinthinthinthintorgohinthinthinthint,,,1.0
professorsinstructors,,,1.0
profitable,,1.0,1.0
profits,,1.0,1.0
profs,,,1.0
program,,,23.0
programmers,,,1.0
programming,,,10.0
programmings,,,1.0
programs,,,15.0
projector,,,1.0
projects,,,2.0
prom,,,1.0
promiscuity,,3.0,
promiscuous,,2.0,
promise,,13.0,
"promise
3",,1.0,
promised,,2.0,
promises,,2.0,
promising,,2.0,
promote,,,7.0
promotes,,,3.0
promoting,,,4.0
protest,26.0,,
protesting,7.0,,
proud,,43.0,
proudly,,3.0,
psych,,,10.0
psychological,,,2.0
psychologist,,,1.0
psychologists,,,2.0
psychology,,,4.0
publish,,,2.0
puked,2.0,,
puking,1.0,,
punish,3.0,,
punished,3.0,,
punishing,1.0,,
punishment,4.0,,
qualified,,,9.0
quiz,,,1.0
quizzes,,,3.0
rage,6.0,,
rager,1.0,,
raging,1.0,,
rape,28.0,,
raped,22.0,,
rapes,1.0,,
rapey,1.0,,
raping,1.0,,
rapist,3.0,,
rapists,2.0,,
ready,,32.0,
reassurance,,4.0,
"reassurance

“god",,1.0,
reassuring,,2.0,
rebel,2.0,,
rebellious,1.0,,
recruit,,,1.0
recruiters,,,3.0
recruiting,,,3.0
recruitment,,,11.0
register,,,1.0
registered,,,2.0
registrar,,,1.0
registration,,,4.0
regret,39.0,,
regrets,14.0,,
regretted,5.0,,
regretting,6.0,,
reject,5.0,,
rejected,23.0,,
rejecting,1.0,,
rejection,8.0,,
rejectionsfirst,1.0,,
relax,,1.0,
relaxed,,3.0,
relaxer,,1.0,
relaxing,,3.0,
relief,,5.0,
relieve,,3.0,
relieved,,6.0,
reluctance,1.0,,
reluctant,3.0,,
reluctantly,3.0,,
report,,,11.0
reported,,,1.0
reportedly,,,1.0
reporting,,,2.0
reports,,,7.0
repress,1.0,,
repression,1.0,,
require,,,12.0
required,,,11.0
requirement,,,4.0
requirements,,,7.0
requires,,,7.0
requiring,,,1.0
research,,,29.0
"research

if",,,1.0
researcher,,,1.0
researches,,,2.0
researching,,,2.0
resent,5.0,,
resentful,1.0,,
resentment,2.0,,
resents,1.0,,
"resignation

",1.0,,
resigned,1.0,,
resolve,,2.0,
resolved,,2.0,
resolving,,1.0,
resource,,,7.0
resources,,,30.0
responsibilities,,,5.0
responsibility,,,9.0
"responsibility

the",,,1.0
responsible,,,8.0
resume,,,10.0
retire,,,1.0
retired,,,3.0
retirement,,,2.0
retiring,,,3.0
revenge,3.0,,
review,,,3.0
"review

in",,,1.0
reviewing,,,1.0
reviews,,,1.0
reward,,2.0,
rewarding,,2.0,
rewards,,1.0,
rhetoric,,,4.0
rhetorical,,,1.0
rich,,27.0,
ridicule,2.0,,
ridiculed,1.0,,
ridicules,1.0,,
ridiculous,31.0,,
ridiculousand,1.0,,
ridiculously,2.0,,
ridiculoussounding,1.0,,
risk,9.0,,
risky,1.0,,
romantic,,10.0,
romantically,,3.0,
romanticbaroque,,2.0,
romanticized,,2.0,
rotten,1.0,,
rude,32.0,,
rudeabruptangry,1.0,,
rudely,2.0,,
rudeness,1.0,,
rudest,1.0,,
ruin,11.0,,
ruined,12.0,,
"ruined

i",1.0,,
ruining,4.0,,
ruins,4.0,,
sad,92.0,,
saddened,2.0,,
sadder,2.0,,
sadly,5.0,,
sadness,6.0,,
safe,,30.0,
safely,,4.0,
safer,,5.0,
safest,,2.0,
safety,,13.0,
salaries,,,4.0
salary,,,3.0
sarcasm,3.0,,
sarcastic,2.0,,
satisfaction,,2.0,
satisfied,,6.0,
satisfies,,1.0,
satisfy,,2.0,
satisfying,,10.0,
save,,19.0,
scare,8.0,,
scared,116.0,,
scares,13.0,,
scaring,4.0,,
scary,11.0,,
scholars,,,1.0
scholarship,,,15.0
scholarships,,,5.0
school,,,581.0
"school

chins",,,1.0
"school

dads",,,1.0
"school

i",,,1.0
"school

orgo",,,1.0
"school

sure",,,1.0
"school
bullshit",,,1.0
"school
but",,,1.0
"school
on",,,1.0
schooler,,,1.0
schooling,,,2.0
schools,,,72.0
schoolsapplying,,,1.0
schoolsgraduate,,,1.0
schoolsponsored,,,1.0
schoolwhat,,,1.0
schoolwork,,,1.0
school’s,,,1.0
science,,,27.0
sciences,,,5.0
sciencewhile,,,1.0
scientific,,,3.0
scientist,,,2.0
scientists,,,1.0
scream,4.0,,
screamed,3.0,,
screaming,12.0,,
screams,2.0,,
screw,4.0,,
screwed,17.0,,
"screwed

long",1.0,,
screwing,1.0,,
screws,1.0,,
screwups,1.0,,
sector,,,2.0
secure,,6.0,
secured,,1.0,
security,,7.0,
securityrelated,,1.0,
selfish,8.0,,
selfishly,1.0,,
semester,,,215.0
"semester

",,,1.0
"semester



edit

honestly",,,1.0
"semester

so",,,1.0
"semester
i",,,1.0
"semester
youd",,,1.0
semesterbadly,,,1.0
semesters,,,26.0
semester…read,,,1.0
senior,,,106.0
"senior

for",,,1.0
"senior

studying",,,1.0
senioritis,,,4.0
seniors,,,3.0
sentimental,,2.0,
serious,50.0,,
seriously,89.0,,
seriousness,3.0,,
service,,,16.0
services,,,28.0
"services
i",,,1.0
session,,,7.0
sessions,,,10.0
severe,21.0,,
severely,5.0,,
shake,10.0,,
shaking,5.0,,
shaky,1.0,,
shame,28.0,,
shamed,3.0,,
shameful,3.0,,
shamelessly,2.0,,
share,,51.0,
shared,,15.0,
shares,,2.0,
sharing,,24.0,
shit,131.0,,
shithead,1.0,,
shitheads,1.0,,
shithole,1.0,,
shitiest,1.0,,
shitif,1.0,,
shitless,6.0,,
shitnado,1.0,,
shits,6.0,,
shittest,1.0,,
shittier,2.0,,
shittiest,1.0,,
shittiness,1.0,,
shitting,2.0,,
shitty,30.0,,
shittyass,1.0,,
shitwhat,1.0,,
shock,6.0,,
shocked,5.0,,
shocking,2.0,,
shocks,1.0,,
shy,15.0,,
shyly,1.0,,
shyoutgoing,1.0,,
sickens,2.0,,
silly,,7.0,
sin,1.0,,
sincerely,,9.0,
"sincerely
admin",,1.0,
"sincerely
the",,1.0,
sins,2.0,,
skeptical,4.0,,
slut,5.0,,
sluts,1.0,,
slutshaming,3.0,,
slutty,2.0,,
smart,,50.0,
smarter,,5.0,
smartphones,,1.0,
smarttalentedelitist,,1.0,
smartypantsseriously,,1.0,
smile,,27.0,
smiled,,7.0,
smiledive,,1.0,
smiles,,4.0,
smiley,,1.0,
smiling,,5.0,
smug,2.0,,
snobby,2.0,,
sob,1.0,,
sociable,,1.0,
sophomore,,,43.0
sophomores,,,3.0
sororities,,,21.0
"sororities

now",,,1.0
sororitiesfraternities,,,3.0
"sororitiesfraternities

now",,,1.0
sororities’,,,1.0
sorority,,,76.0
sororityfraternity,,,2.0
sororityrelated,,,1.0
sororitys,,,1.0
sorrow,1.0,,
sorrowfully,1.0,,
sorry,88.0,,
soulmate,,2.0,
special,,29.0,
spite,2.0,,
spiteful,1.0,,
staff,,,44.0
staple,,,1.0
startled,4.0,,
startling,1.0,,
steal,17.0,,
stealing,10.0,,
steals,1.0,,
stink,1.0,,
stock,,,2.0
strain,3.0,,
straining,1.0,,
strange,10.0,,
strength,,15.0,
strengthen,,1.0,
strengthened,,1.0,
stress,41.0,,
stressed,28.0,,
stresses,3.0,,
stressful,12.0,,
stressing,3.0,,
stressity,1.0,,
stressor,1.0,,
stresspoops,1.0,,
strong,,34.0,
"strong
and",,1.0,
stronger,,11.0,
strongly,,19.0,
stronglyworded,,1.0,
struggle,36.0,,
"struggle

my",1.0,,
strugglebe,1.0,,
struggled,11.0,,
struggleful,1.0,,
struggles,16.0,,
struggling,51.0,,
stubborn,1.0,,
student,,,240.0
"student

i",,,2.0
studentaged,,,1.0
studenthonestly,,,1.0
students,,,323.0
"students

i",,,1.0
"students

specifically",,,1.0
"students
im",,,1.0
studentwise,,,1.0
studied,,,2.0
studies,,,14.0
study,,,81.0
"study

however",,,1.0
studying,,,74.0
"studying

“oh",,,1.0
studyinghanging,,,1.0
stunned,2.0,,
stupid,35.0,,
"stupid

why",1.0,,
stupidest,1.0,,
succeed,,12.0,12.0
"succeed

happy",,1.0,1.0
succeeded,,3.0,3.0
succeeding,,1.0,1.0
succeeds,,1.0,1.0
success,,19.0,19.0
successes,,1.0,1.0
successful,,13.0,13.0
successfully,,3.0,3.0
successive,,1.0,1.0
suck,18.0,,
sucked,6.0,,
sucker,1.0,,
sucks,31.0,,
suffer,12.0,,
suffered,8.0,,
suffering,12.0,,
suffers,3.0,,
sunny,,1.0,
super,,68.0,
superior,,5.0,
superiority,,2.0,
supervisor,,,1.0
support,,102.0,
supported,,6.0,
supporter,,2.0,
supporters,,2.0,
supporting,,11.0,
supportive,,8.0,
supports,,6.0,
supreme,,2.0,
sure,,207.0,
surely,,4.0,
surprise,,6.0,
surprised,,16.0,
surprises,,2.0,
surprising,,2.0,
surprisingly,,5.0,
suspicion,2.0,,
suspicions,1.0,,
suspicious,6.0,,
sweet,,9.0,
sweets,,1.0,
syllabus,,,1.0
talent,,3.0,
talented,,5.0,
talents,,3.0,
tantrum,3.0,,
taught,,,15.0
tax,,,5.0
taxes,,,3.0
taxing,,,2.0
teach,,,17.0
teacher,,,9.0
teachers,,,14.0
teacher—himself,,,1.0
teaches,,,3.0
teaching,,,9.0
team,,,15.0
teams,,,6.0
tears,11.0,,
tease,1.0,,
teasing,1.0,,
temper,1.0,,
tenders,,2.0,
tense,1.0,,
tension,3.0,,
terrible,42.0,,
terribly,4.0,,
terrific,,2.0,
terrified,28.0,,
terrifies,4.0,,
terrify,1.0,,
terrifying,9.0,,
terrorism,1.0,,
terrorist,1.0,,
test,,,27.0
tested,,,3.0
testing,,,2.0
tests,,,13.0
textbook,,,6.0
textbooks,,,1.0
thank,,86.0,
thanked,,1.0,
thankful,,15.0,
thankfully,,3.0,
thanks,,57.0,
thesis,,,3.0
thief,1.0,,
thieves,1.0,,
thoughtful,,6.0,
threat,5.0,,
threaten,3.0,,
threatened,7.0,,
threatening,2.0,,
threats,1.0,,
thrill,,2.0,
thrilled,,8.0,
ticked,1.0,,
tolerance,,6.0,
tolerant,,4.0,
torture,2.0,,
"torture

i",1.0,,
torturing,1.0,,
tough,19.0,,
trade,,,9.0
traded,,,1.0
tradeoff,,,2.0
tradeoffs,,,2.0
"trades
oh",,,1.0
tragedies,1.0,,
tragedy,2.0,,
tranquility,,1.0,
transcript,,,5.0
transfer,,,15.0
transferred,,,5.0
transferring,,,11.0
transfers,,,1.0
trauma,3.0,,
traumas,1.0,,
traumatic,2.0,,
traumatized,1.0,,
traumatizing,1.0,,
treasure,,1.0,
treat,,27.0,
tremble,1.0,,
trembling,1.0,,
trick,1.0,,
tricked,2.0,,
trickier,1.0,,
tricky,1.0,,
trivia,1.0,,
trivial,3.0,,
trivialize,1.0,,
trouble,25.0,,
troubled,2.0,,
troubles,4.0,,
troubling,3.0,,
"troubling

so",1.0,,
truly,,59.0,
trust,,36.0,
trusted,,5.0,
trustees,,1.0,
trusting,,2.0,
truth,,34.0,
"truth

but",,1.0,
truthfully,,2.0,
tutor,,,3.0
tutoring,,,1.0
tutors,,,3.0
type,,,30.0
types,,,14.0
typing,,,8.0
ugh,3.0,,
ugly,7.0,,
unattractive,8.0,,
uncertainty,3.0,,
"uncertainty
when",1.0,,
uncomfortable,49.0,,
"uncomfortable

i",1.0,,
"uncomfortable

im",1.0,,
uncomfortableness,1.0,,
uncomfortablewhy,1.0,,
uncontrollable,2.0,,
uncontrollably,1.0,,
undergrad,,,8.0
undergrads,,,3.0
undergraduate,,,6.0
uneasy,2.0,,
unemployable,,,1.0
unemployed,,,2.0
unemployment,,,1.0
unfortunate,8.0,,
unfortunately,20.0,,
ungrateful,3.0,,
unhappiness,3.0,,
unhappy,19.0,,
unhappybored,1.0,,
unimportant,2.0,,
universit,,,1.0
universities,,,9.0
university,,,116.0
"university

i",,,1.0
universitys,,,3.0
unloveable,1.0,,
unloved,1.0,,
unpleasant,4.0,,
unprotected,2.0,,
unsure,2.0,,
unwelcome,1.0,,
upperclassman,,,5.0
upperclassmen,,,2.0
upset,45.0,,
upsets,4.0,,
upsetting,3.0,,
uptight,2.0,,
useful,,4.0,
vain,1.0,,
valuable,,7.0,
value,,31.0,
valued,,1.0,
values,,5.0,
varsity,,,2.0
vicious,3.0,,
victim,17.0,,
victims,7.0,,
vigorously,,1.0,
violate,2.0,,
violated,2.0,,
violation,2.0,,
violations,2.0,,
violent,3.0,,
vita,,,1.0
vital,,3.0,
vitality,,1.0,
vocational,,,1.0
vulnerability,1.0,,
vulnerable,5.0,,
wage,,,4.0
wages,,,2.0
war,6.0,,
warm,,13.0,
warming,,1.0,
warms,,1.0,
warmth,,5.0,
warmup,,2.0,
wars,1.0,,
weak,9.0,,
weaker,1.0,,
weakest,1.0,,
weakness,1.0,,
"weakwilled

i",1.0,,
wealth,,4.0,
wealthiest,,1.0,
wealthy,,16.0,
wealthyaffluent,,1.0,
weapon,2.0,,
weapons,4.0,,
weird,54.0,,
weirdembarrassing,1.0,,
weirder,1.0,,
weirdest,3.0,,
weirdly,1.0,,
weirdo,1.0,,
weirdpersonal,1.0,,
weirds,1.0,,
welcomde,,1.0,
welcome,,20.0,
welcomed,,5.0,
welcomeness,,1.0,
welcoming,,3.0,
welcomingaccepting,,1.0,
welfare,,,1.0
well,,247.0,
"well

i",,2.0,
"well

wouldnt",,1.0,
welladjusted,,1.0,
wellbeing,,3.0,
wellknown,,1.0,
wellliked,,2.0,
welloff,,6.0,
wellsgoodfellow,,1.0,
wellwere,,1.0,
whine,2.0,,
whined,1.0,,
whiners,1.0,,
whining,3.0,,
whore,4.0,,
whores,1.0,,
win,,16.0,
winner,,1.0,
winnie,,2.0,
winning,,5.0,
wins,,2.0,
wisdom,,3.0,
wise,,5.0,
wisecracks,,1.0,
witch,1.0,,
woefully,1.0,,
woes,1.0,,
won,,3.0,
wonderful,,26.0,
wonderfully,,1.0,
worked,,,51.0
worker,,,4.0
"worker
3",,,1.0
workers,,,19.0
working,,,75.0
works,,,25.0
worried,43.0,,
worries,3.0,,
worry,46.0,,
worrying,7.0,,
worryingly,1.0,,
worse,61.0,,
worsening,1.0,,
worser,1.0,,
worst,50.0,,
worthwhile,,4.0,
wow,,10.0,
wrong,110.0,,
"wrong

a",1.0,,
"wrong

we",1.0,,
wrongful,1.0,,
yay,,1.0,
yearn,2.0,,
yearns,1.0,,
